what,kind,bundleId,bundleVersion,description,time
error,log,,,"SOPC design not set.",1312373387390
error,log,,,"CPU module not set.",1312373387390
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373387390
error,log,,,"CPU architecture type not set. ",1312373387390
error,log,,,"CPU master group not set.",1312373387390
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373387390
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373387390
error,log,,,"SOPC design not set.",1312373387390
error,log,,,"CPU module not set.",1312373387406
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373387406
error,log,,,"CPU architecture type not set. ",1312373387406
error,log,,,"CPU master group not set.",1312373387406
error,log,,,"SOPC design not set.",1312373387406
error,log,,,"CPU module not set.",1312373387406
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373387406
error,log,,,"CPU architecture type not set. ",1312373387406
error,log,,,"CPU master group not set.",1312373387421
error,log,,,"SOPC design not set.",1312373387421
error,log,,,"CPU module not set.",1312373387421
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373387421
error,log,,,"CPU architecture type not set. ",1312373387421
error,log,,,"CPU master group not set.",1312373387421
error,log,,,"SOPC design not set.",1312373387437
error,log,,,"CPU module not set.",1312373387437
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373387437
