what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1312373193531
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1312373193562
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1312373193640
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1312373200968
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1312373200984
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312373202906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373208828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373229625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373230796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373248843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373252046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373252953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373253312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373253312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373253406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373261328
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1312373261484
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1312373263125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373263421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373270968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373271250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373275046
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1312373281953
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1312373290046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1312373293140
